Timestamp,TransactionID,Currency,Amount,Method,Reference,AccountID,Type,CounterpartyID,LocalID
7/1/24 15:22,T1001,SGD,57.5,CreditCard,ProductA,SimAccount03,Sales,CPT01,ACCOUNTSECRETKEY01
7/1/24 17:13,T1002,SGD,81.04,CreditCard,ProductB,SimAccount03,Sales,CPT02,ACCOUNTSECRETKEY01
7/1/24 18:45,T1003,SGD,57.75,CreditCard,ProductB,SimAccount03,Sales,CPT03,ACCOUNTSECRETKEY01
7/1/24 20:31,T1004,SGD,79.18,CreditCard,ProductA,SimAccount01,Sales,CPT04,ACCOUNTSECRETKEY01
7/1/24 21:55,T1005,SGD,83.49,CreditCard,ProductC,SimAccount01,Sales,CPT05,ACCOUNTSECRETKEY01
7/1/24 22:59,T1006,SGD,52.76,CreditCard,ProductA,SimAccount01,Sales,CPT06,ACCOUNTSECRETKEY01
8/1/24 1:21,T1007,SGD,91.24,CreditCard,ProductC,SimAccount03,Sales,CPT07,ACCOUNTSECRETKEY01
8/1/24 2:21,T1008,SGD,54.65,CreditCard,ProductB,SimAccount03,Cost,CPT08,ACCOUNTSECRETKEY01
8/1/24 3:58,T1009,SGD,51.38,CreditCard,ProductA,SimAccount01,Sales,CPT09,ACCOUNTSECRETKEY01
8/1/24 4:07,T1010,SGD,55.52,CreditCard,ProductA,SimAccount01,Sales,CPT10,ACCOUNTSECRETKEY01
8/1/24 4:50,T1011,SGD,90.38,CreditCard,ProductB,SimAccount01,Sales,CPT11,ACCOUNTSECRETKEY01
8/1/24 7:08,T1012,SGD,93.12,CreditCard,ProductC,SimAccount03,Sales,CPT12,ACCOUNTSECRETKEY01
8/1/24 7:13,T1013,SGD,60.96,CreditCard,ProductC,SimAccount01,Sales,CPT13,ACCOUNTSECRETKEY01
8/1/24 8:33,T1014,SGD,60.54,CreditCard,ProductA,SimAccount03,Sales,CPT14,ACCOUNTSECRETKEY01
8/1/24 9:24,T1015,SGD,90.44,CreditCard,ProductB,SimAccount03,Sales,CPT15,ACCOUNTSECRETKEY01
8/1/24 11:02,T1016,SGD,59.92,CreditCard,ProductB,SimAccount03,Sales,CPT16,ACCOUNTSECRETKEY01
8/1/24 11:54,T1017,SGD,78.74,CreditCard,ProductA,SimAccount03,Sales,CPT17,ACCOUNTSECRETKEY01
8/1/24 13:37,T1018,SGD,68.76,CreditCard,ProductC,SimAccount01,Sales,CPT18,ACCOUNTSECRETKEY01
8/1/24 14:35,T1019,SGD,77.89,CreditCard,ProductA,SimAccount03,Sales,CPT19,ACCOUNTSECRETKEY01
8/1/24 15:07,T1020,SGD,93.34,CreditCard,ProductB,SimAccount01,Sales,CPT20,ACCOUNTSECRETKEY01
8/1/24 17:29,T1021,SGD,85.9,CreditCard,ProductC,SimAccount03,Sales,CPT21,ACCOUNTSECRETKEY01
8/1/24 17:55,T1022,SGD,80.54,CreditCard,ProductC,SimAccount01,Sales,CPT22,ACCOUNTSECRETKEY01
8/1/24 19:12,T1023,SGD,78.53,CreditCard,ProductC,SimAccount03,Sales,CPT23,ACCOUNTSECRETKEY01
8/1/24 20:17,T1024,SGD,66.55,CreditCard,ProductA,SimAccount03,Sales,CPT24,ACCOUNTSECRETKEY01
